Maria, 1, Ari, 3, Joe, 2, Lauren, 4, Juliet, 5, Fred, 6
Maria, 1, Ari, 3, Joe, 2, Lauren, 4, Juliet, 5, Fred, 6
Maria, 1, Ari, 2, Joe, 3, Lauren, 4, Juliet, 6, Fred, 5
Maria, 1, Ari, 6, Joe, 3, Lauren, 4, Juliet, 2, Fred, 5
Maria, 1, Ari, 2, Joe, 4, Lauren, 6, Juliet, 3, Fred, 5
Maria, 1, Ari, 6, Joe, 2, Lauren, 3, Juliet, 4, Fred, 5
Maria, 1, Ari, 4, Joe, 2, Lauren, 5, Juliet, 6, Fred, 3
Maria, 1, Ari, 2, Joe, 6, Lauren, 4, Juliet, 5, Fred, 3
Maria, 6, Ari, 1, Joe, 4, Lauren, 2, Juliet, 5, Fred, 3
Maria, 3, Ari, 1, Joe, 4, Lauren, 2, Juliet, 6, Fred, 5
Maria, 5, Ari, 1, Joe, 2, Lauren, 4, Juliet, 3, Fred, 6
Maria, 3, Ari, 1, Joe, 2, Lauren, 6, Juliet, 4, Fred, 5
Maria, 5, Ari, 1, Joe, 3, Lauren, 4, Juliet, 2, Fred, 6
Maria, 6, Ari, 1, Joe, 3, Lauren, 4, Juliet, 5, Fred, 2
Maria, 4, Ari, 2, Joe, 1, Lauren, 3, Juliet, 6, Fred, 5
Maria, 3, Ari, 4, Joe, 1, Lauren, 5, Juliet, 2, Fred, 6
Maria, 3, Ari, 4, Joe, 1, Lauren, 2, Juliet, 6, Fred, 5
Maria, 4, Ari, 3, Joe, 1, Lauren, 6, Juliet, 2, Fred, 5
Maria, 4, Ari, 5, Joe, 3, Lauren, 1, Juliet, 2, Fred, 6 
Maria, 3, Ari, 2, Joe, 4, Lauren, 1, Juliet, 6, Fred, 5
Maria, 6, Ari, 3, Joe, 2, Lauren, 4, Juliet, 1, Fred, 5
Maria, 5, Ari, 3, Joe, 2, Lauren, 4, Juliet, 1, Fred, 6
Maria, 4, Ari, 2, Joe, 3, Lauren, 6, Juliet, 1, Fred, 5
Maria, 3, Ari, 2, Joe, 6, Lauren, 4, Juliet, 1, Fred, 5
Maria, 2, Ari, 6, Joe, 4, Lauren, 3, Juliet, 1, Fred, 5
Maria, 3, Ari, 6, Joe, 2, Lauren, 4, Juliet, 5, Fred, 1
Maria, 6, Ari, 3, Joe, 2, Lauren, 5, Juliet, 4, Fred, 1
Maria, 4, Ari, 2, Joe, 3, Lauren, 6, Juliet, 5, Fred, 1
Maria, 5, Ari, 2, Joe, 3, Lauren, 4, Juliet, 6, Fred, 1
Maria, 3, Ari, 6, Joe, 5, Lauren, 4, Juliet, 2, Fred, 1
